"","bandnum_index","bander_index","day_index","state_index","mean_mintemp_prev5_scaled","PCA_weight_scaled","interval","survived"
"1",1,1,1,11,-0.614648310945477,1.22812316533579,1,1
"2",1,1,2,11,-0.566668624108262,1.22812316533579,1,1
"3",1,1,3,11,-0.64980121870828,1.22812316533579,1,1
"4",1,1,4,11,-0.703275033259226,1.22812316533579,1,1
"5",1,1,5,11,-0.732067693395512,1.22812316533579,1,1
"6",1,1,6,11,-0.772996287767269,1.22812316533579,1,1
"7",1,1,7,11,-0.97763459805494,1.22812316533579,1,1
"8",1,1,8,11,-1.14881494783648,1.22812316533579,1,1
"9",1,1,9,11,-1.30910027361282,1.22812316533579,1,1
"10",1,1,10,11,-1.46395953061367,1.22812316533579,1,1
"11",1,1,11,11,-1.43990022978548,1.22812316533579,1,1
"12",1,1,12,11,-1.16775211432575,1.22812316533579,1,1
"13",1,1,13,11,-0.783633060732812,1.22812316533579,1,1
"14",1,1,14,11,-0.345618786560316,1.22812316533579,1,1
"15",1,1,15,11,-0.00962672545176055,1.22812316533579,1,1
"16",2,45,1,11,-0.672109633426444,-1.3593882452418,1,1
"17",2,45,2,11,-0.642165565225258,-1.3593882452418,1,1
"18",2,45,3,11,-0.320645817793987,-1.3593882452418,1,1
"19",2,45,4,11,-0.0615836647625496,-1.3593882452418,1,1
"20",2,45,5,11,0.195806848867781,-1.3593882452418,1,1
"21",2,45,6,11,0.36689023797017,-1.3593882452418,1,1
"22",2,45,7,11,0.38680446976472,-1.3593882452418,1,1
"23",2,45,8,11,0.0417316681281249,-1.3593882452418,1,1
"24",2,45,9,11,-0.418130457536575,-1.3593882452418,1,1
"25",2,45,10,11,-0.526030911773954,-1.3593882452418,1,1
"26",2,45,11,11,-0.670552668674717,-1.3593882452418,1,1
"27",2,45,12,11,-0.907739000787272,-1.3593882452418,1,1
"28",2,45,13,11,-0.908944483077083,-1.3593882452418,1,1
"29",2,45,14,11,-1.00348114524784,-1.3593882452418,1,1
"30",2,45,15,11,-1.15061897585719,-1.3593882452418,1,1
"31",3,45,1,11,-0.672109633426444,0.790118989641302,1,1
"32",3,45,2,11,-0.642165565225258,0.790118989641302,1,1
"33",3,45,3,11,-0.320645817793987,0.790118989641302,1,1
"34",3,45,4,11,-0.068206824999838,0.790118989641302,1,1
"35",3,45,5,11,0.189183688630493,0.790118989641302,1,1
"36",3,45,6,11,0.360267077732882,0.790118989641302,1,1
"37",3,45,7,11,0.380181309527431,0.790118989641302,1,1
"38",3,45,8,11,0.0351085078908365,0.790118989641302,1,1
"39",3,45,9,11,-0.418130457536575,0.790118989641302,1,1
"40",3,45,10,11,-0.526030911773954,0.790118989641302,1,1
"41",3,45,11,11,-0.65659033087719,0.790118989641302,1,1
"42",3,45,12,11,-0.891619287878669,0.790118989641302,1,1
"43",3,45,13,11,-0.89282477016848,0.790118989641302,1,1
"44",3,45,14,11,-0.987361432339235,0.790118989641302,1,1
"45",3,45,15,11,-1.13449926294859,0.790118989641302,1,1
"46",4,45,1,11,-0.310043540454679,0.884910545498463,1,1
"47",4,45,2,11,-0.444708871394207,0.884910545498463,1,1
"48",4,45,3,11,-0.611785173967899,0.884910545498463,1,1
"49",4,45,4,11,-0.892549737472815,0.884910545498463,1,1
"50",4,45,5,11,-0.897609406758818,0.884910545498463,1,1
"51",4,45,6,11,-1.10444145241225,0.884910545498463,1,1
"52",4,45,7,11,-1.38620732139223,0.884910545498463,1,1
"53",4,45,8,11,-1.27321363455683,0.884910545498463,1,1
"54",4,45,9,11,-0.919768651201368,0.884910545498463,1,1
"55",4,45,10,11,-0.896904577206539,0.884910545498463,1,1
"56",4,45,11,11,-0.770233840725731,0.884910545498463,1,1
"57",4,45,12,11,-0.372613012561224,0.884910545498463,1,1
"58",4,45,13,11,-0.329488818195265,0.884910545498463,1,1
"59",4,45,14,11,-0.0533830288606368,0.884910545498463,1,1
"60",4,45,15,11,-0.0613766910051344,0.884910545498463,1,1
"61",5,45,1,11,-0.310043540454679,-0.740711166557901,1,1
"62",5,45,2,11,-0.444708871394207,-0.740711166557901,1,1
"63",5,45,3,11,-0.611785173967899,-0.740711166557901,1,1
"64",5,45,4,11,-0.892549737472815,-0.740711166557901,1,1
"65",5,45,5,11,-0.897609406758818,-0.740711166557901,1,1
"66",5,45,6,11,-1.10752181860369,-0.740711166557901,1,1
"67",5,45,7,11,-1.38928768758367,-0.740711166557901,1,1
"68",5,45,8,11,-1.27629400074827,-0.740711166557901,1,1
"69",5,45,9,11,-0.922849017392809,-0.740711166557901,1,1
"70",5,45,10,11,-0.928248981370058,-0.740711166557901,1,1
"71",5,45,11,11,-0.819304335203377,-0.740711166557901,1,1
"72",5,45,12,11,-0.418215298130831,-0.740711166557901,1,1
"73",5,45,13,11,-0.342094638798921,-0.740711166557901,1,1
"74",5,45,14,11,-0.058231995132334,-0.740711166557901,1,1
"75",5,45,15,11,-0.0587783312667724,-0.740711166557901,1,1
"76",6,45,1,11,-0.310043540454679,1.24578040882437,1,1
"77",6,45,2,11,-0.444708871394207,1.24578040882437,1,1
"78",6,45,3,11,-0.595844465390033,1.24578040882437,1,1
"79",6,45,4,11,-0.803358965054399,1.24578040882437,1,1
"80",6,45,5,11,-0.808418634340402,1.24578040882437,1,1
"81",6,45,6,11,-1.01698105519096,1.24578040882437,1,1
"82",6,45,7,11,-1.30068613775393,1.24578040882437,1,1
"83",6,45,8,11,-1.2036331594964,1.24578040882437,1,1
"84",6,45,9,11,-0.923438239981487,1.24578040882437,1,1
"85",6,45,10,11,-0.900574165986658,1.24578040882437,1,1
"86",6,45,11,11,-0.789124391503875,1.24578040882437,1,1
"87",6,45,12,11,-0.389564349756379,1.24578040882437,1,1
"88",6,45,13,11,-0.346440155390419,1.24578040882437,1,1
"89",6,45,14,11,-0.0703343660557913,1.24578040882437,1,1
"90",6,45,15,11,-0.0783280282002889,1.24578040882437,1,1
"91",7,25,1,11,-1.0171684503497,1.58157370199249,1,1
"92",7,25,2,11,-0.699910311229894,1.58157370199249,1,1
"93",7,25,3,11,-0.683027965287211,1.58157370199249,1,1
"94",7,25,4,11,-0.624782566545044,1.58157370199249,1,1
"95",7,25,5,11,-0.340939501477131,1.58157370199249,1,1
"96",7,25,6,11,-0.278891193021014,1.58157370199249,1,1
"97",7,25,7,11,0.0181040287849942,1.58157370199249,1,1
"98",7,25,8,11,-0.00412793616691723,1.58157370199249,1,1
"99",7,25,9,11,0.0395789545881616,1.58157370199249,1,1
"100",7,25,10,11,0.0527945086933929,1.58157370199249,1,1
"101",7,25,11,11,0.205763032450833,1.58157370199249,1,1
"102",7,25,12,11,-0.0074311254575581,1.58157370199249,1,1
"103",7,25,13,11,0.396769044175775,1.58157370199249,1,1
"104",7,25,14,11,0.901175278767441,1.58157370199249,1,1
"105",7,25,15,11,1.0430846912165,1.58157370199249,1,1
"106",8,45,1,11,0.0925996644269273,-0.695580556861425,1,1
"107",8,45,2,11,0.106198399677644,-0.695580556861425,1,1
"108",8,45,3,11,0.182342366865118,-0.695580556861425,1,1
"109",8,45,4,11,-0.013727043402717,-0.695580556861425,1,1
"110",8,45,5,11,0.34444663768973,-0.695580556861425,1,1
"111",8,45,6,11,0.81390041207645,-0.695580556861425,1,1
"112",8,45,7,11,0.921229357695379,-0.695580556861425,1,1
"113",8,45,8,11,0.703192759714849,-0.695580556861425,1,1
"114",8,45,9,11,0.653733490206382,-0.695580556861425,1,1
"115",8,45,10,11,0.473560969747951,-0.695580556861425,1,1
"116",8,45,11,11,0.221532195211742,-0.695580556861425,1,1
"117",8,45,12,11,0.0732569412508261,-0.695580556861425,1,1
"118",8,45,13,11,0.140336949566268,-0.695580556861425,1,1
"119",8,45,14,11,0.182211842873955,-0.695580556861425,1,1
"120",8,45,15,11,0.430496443492237,-0.695580556861425,1,1
"121",9,45,1,11,-1.03131445404908,-1.6064334099518,1,1
"122",9,45,2,11,-0.916109317877697,-1.6064334099518,1,1
"123",9,45,3,11,-0.493219045024076,-1.6064334099518,1,1
"124",9,45,4,11,-0.266235027449337,-1.6064334099518,1,1
"125",9,45,5,11,0.120792846518087,-1.6064334099518,1,1
"126",9,45,6,11,0.425516020915154,-1.6064334099518,1,1
"127",9,45,7,11,0.606317853473835,-1.6064334099518,1,1
"128",9,45,8,11,0.46933665400539,-1.6064334099518,1,1
"129",9,45,9,11,0.444785091267671,-1.6064334099518,1,1
"130",9,45,10,11,0.47981027198198,-1.6064334099518,1,1
"131",9,45,11,11,0.445635361838674,-1.6064334099518,1,1
"132",9,45,12,11,0.305821791761997,-1.6064334099518,1,1
"133",9,45,13,11,0.376414760068163,-1.6064334099518,1,1
"134",9,45,14,11,0.366892102598615,-1.6064334099518,1,1
"135",9,45,15,11,0.2956987239331,-1.6064334099518,1,1
"136",10,45,1,11,-1.21029454461681,0.569055432186986,1,1
"137",10,45,2,11,-1.2557392690828,0.569055432186986,1,1
"138",10,45,3,11,-1.4637917140536,0.569055432186986,1,1
"139",10,45,4,11,-1.87215979441903,0.569055432186986,1,1
"140",10,45,5,11,-1.73838668819052,0.569055432186986,1,1
"141",10,45,6,11,-1.54125537202316,0.569055432186986,1,1
"142",10,45,7,11,-1.79152393730711,0.569055432186986,1,1
"143",10,45,8,11,-1.85887711368977,0.569055432186986,1,1
"144",10,45,9,11,-1.28318659979589,0.569055432186986,1,1
"145",10,45,10,11,-1.36235499432145,0.569055432186986,1,1
"146",10,45,11,11,-1.36395764247009,0.569055432186986,1,1
"147",10,45,12,11,-1.09367415545554,0.569055432186986,1,1
"148",10,45,13,11,-0.906769393995777,0.569055432186986,1,1
"149",10,45,14,11,-1.16236893200451,0.569055432186986,1,1
"150",10,45,15,11,-0.963643358516513,0.569055432186986,1,1
"151",11,45,1,11,-1.21029454461681,-1.73599499053623,1,1
