"","bandnum_index","bander_index","day_index","age_index","state_index","mean_mintemp_prev5_scaled","PCA_weight_scaled","interval","survived"
"1",1,1,1,1,11,-0.614648310945477,1.25474866522684,1,1
"2",1,1,2,1,11,-0.566668624108262,1.25474866522684,1,1
"3",1,1,3,1,11,-0.64980121870828,1.25474866522684,1,1
"4",1,1,4,1,11,-0.703275033259226,1.25474866522684,1,1
"5",1,1,5,1,11,-0.732067693395512,1.25474866522684,1,1
"6",1,1,6,1,11,-0.772996287767269,1.25474866522684,1,1
"7",1,1,7,1,11,-0.97763459805494,1.25474866522684,1,1
"8",1,1,8,1,11,-1.14881494783648,1.25474866522684,1,1
"9",1,1,9,1,11,-1.30910027361282,1.25474866522684,1,1
"10",1,1,10,1,11,-1.46395953061367,1.25474866522684,1,1
"11",1,1,11,1,11,-1.43990022978548,1.25474866522684,1,1
"12",1,1,12,1,11,-1.16775211432575,1.25474866522684,1,1
"13",1,1,13,1,11,-0.783633060732812,1.25474866522684,1,1
"14",1,1,14,1,11,-0.345618786560316,1.25474866522684,1,1
"15",1,1,15,1,11,-0.00962672545176055,1.25474866522684,1,1
"16",2,45,1,2,11,-0.672109633426444,-1.38100129328859,1,1
"17",2,45,2,2,11,-0.642165565225258,-1.38100129328859,1,1
"18",2,45,3,2,11,-0.320645817793987,-1.38100129328859,1,1
"19",2,45,4,2,11,-0.0615836647625496,-1.38100129328859,1,1
"20",2,45,5,2,11,0.195806848867781,-1.38100129328859,1,1
"21",2,45,6,2,11,0.36689023797017,-1.38100129328859,1,1
"22",2,45,7,2,11,0.38680446976472,-1.38100129328859,1,1
"23",2,45,8,2,11,0.0417316681281249,-1.38100129328859,1,1
"24",2,45,9,2,11,-0.418130457536575,-1.38100129328859,1,1
"25",2,45,10,2,11,-0.526030911773954,-1.38100129328859,1,1
"26",2,45,11,2,11,-0.670552668674717,-1.38100129328859,1,1
"27",2,45,12,2,11,-0.907739000787272,-1.38100129328859,1,1
"28",2,45,13,2,11,-0.908944483077083,-1.38100129328859,1,1
"29",2,45,14,2,11,-1.00348114524784,-1.38100129328859,1,1
"30",2,45,15,2,11,-1.15061897585719,-1.38100129328859,1,1
"31",3,45,1,1,11,-0.672109633426444,0.814508517261762,1,1
"32",3,45,2,1,11,-0.642165565225258,0.814508517261762,1,1
"33",3,45,3,1,11,-0.320645817793987,0.814508517261762,1,1
"34",3,45,4,1,11,-0.068206824999838,0.814508517261762,1,1
"35",3,45,5,1,11,0.189183688630493,0.814508517261762,1,1
"36",3,45,6,1,11,0.360267077732882,0.814508517261762,1,1
"37",3,45,7,1,11,0.380181309527431,0.814508517261762,1,1
"38",3,45,8,1,11,0.0351085078908365,0.814508517261762,1,1
"39",3,45,9,1,11,-0.418130457536575,0.814508517261762,1,1
"40",3,45,10,1,11,-0.526030911773954,0.814508517261762,1,1
